# dates,infections,hospitalizations,deaths,mean_r_t
2020-05-23,115945.07814250005,54877.0,1201.6257612666732,1.0023320716356843
2020-05-24,117664.44034164093,53721.0,1170.5676338706369,1.0239928602433068
2020-05-25,119911.2313648427,52597.0,1140.2666409818216,1.0466259755294596
2020-05-26,122648.67074084058,51507.0,1110.716742033893,1.0692477347460874
2020-05-27,125832.56914749931,50454.0,1081.9137926347653,1.090875141292126
2020-05-28,129419.10330476447,49443.0,1053.8563246702233,1.1106879906138092
2020-05-29,133369.3878727324,48479.0,1026.5464627082583,1.1281370881762485
2020-05-30,137650.76522779607,47569.0,999.9910902925868,1.142973462541121
2020-05-31,142236.38897169332,46721.0,974.2032714558333,1.1552091250298313
2020-06-01,147104.7246277978,45945.0,949.2037621140908,1.1650407699097842
2020-06-02,152239.35170351906,45253.0,925.0227732714676,1.172768175353381
2020-06-03,157628.65999015552,44658.0,901.7018565077044,1.1787273370076838
2020-06-04,163265.15140856017,44175.0,879.295747654232,1.183245303219709
2020-06-05,169144.50513352797,43818.0,857.8742126940216,1.1866150538203442
2020-06-06,175264.78829417613,43601.0,837.5234997606723,1.1890851834514062
2020-06-07,181625.98239606587,43536.0,816.1714545444495,1.1908588799508466
2020-06-08,188229.71235068675,43633.0,794.371248727548,1.1920978636679702
2020-06-09,195078.99702595852,43899.0,772.6012467406466,1.1929283980147873
2020-06-10,202177.9565600644,44339.0,751.2717953608643,1.1934476790586293
2020-06-11,209531.53799904595,44955.0,730.7293566025295,1.193729740894171
2020-06-12,217145.32855444495,45744.0,711.259177387587,1.1938305223557446
2020-06-13,225025.454209448,46702.0,693.0873808970551,1.1937920220172005
2020-06-14,233178.51219740766,47822.0,676.3835051113825,1.1936456063484338
2020-06-15,241574.03305346787,49096.0,661.2640711900311,1.1932295341418337
2020-06-16,250206.51584891824,50513.0,647.7973799681408,1.1925194629867624
2020-06-17,259113.90922918599,52064.0,636.0090389532504,1.1917026129472572
2020-06-18,268288.09181119193,53738.0,625.8879830546313,1.1907478467010455
2020-06-19,277714.55731364037,55527.0,617.3926834229487,1.1896139361164515
2020-06-20,287369.42416761105,57424.0,610.457304636444,1.1882466748858054
2020-06-21,297227.17527706886,59423.0,604.997610112788,1.1865752685506648
2020-06-22,307258.7968128906,61521.0,600.916428802816,1.1845081404784574
2020-06-23,317416.60450083396,63715.0,598.1085649510616,1.1819283936528788
2020-06-24,327630.59119332815,66003.0,596.4650825450658,1.1786895735425837
2020-06-25,337805.65668318066,68385.0,595.8769222972322,1.174612979207871
2020-06-26,347819.23301105236,70860.0,596.2378198787532,1.1694885788412193
2020-06-27,357521.1401034184,73428.0,597.4464990090183,1.1630826348160153
2020-06-28,366732.2544991479,76091.0,599.4081557726558,1.1551559708220165
2020-06-29,375250.4530665658,78847.0,602.0353134044913,1.1454965879542136
2020-06-30,382865.8449996212,81698.0,605.2481756014637,1.133967738226067
2020-07-01,389385.2486588255,84644.0,608.9740678742775,1.1205663333468674
2020-07-02,394662.12771135126,87687.0,613.146594610451,1.1054772106370518
2020-07-03,398622.9988549546,90825.0,617.7052227276417,1.089100459892565
2020-07-04,401280.76632851176,94056.0,622.5945667704727,1.0720294469705742
2020-07-05,402728.3031073841,97379.0,627.7638932711718,1.0549722828852222
2020-07-06,403113.80030093325,100788.0,634.3488064893028,1.0386350961671587
2020-07-07,402608.3794041013,104277.0,643.6053369718928,1.023605809403189
2020-07-08,401378.68163531355,107834.0,655.2366443398063,1.0102768978044028
2020-07-09,399571.71308259555,111446.0,668.9866883437836,0.9988249647790008
2020-07-10,397310.87094052014,115095.0,684.6320362483528,0.9892393709951045
2020-07-11,394697.5250082101,118754.0,701.9735379243781,0.9813772815100716
2020-07-12,391813.552542663,122391.0,720.829130661305,0.9750223314770778
2020-07-13,388723.46370354586,125966.0,741.0261813181428,0.9699325877312579
2020-07-14,385476.71012162376,129435.0,762.3933388178541,0.9658728711422881
2020-07-15,382110.6049552232,132747.0,784.7531089037899,0.962632680224378
2020-07-16,378653.38610628445,135854.0,807.9153297430373,0.960033503052585
2020-07-17,375126.69493426156,138705.0,831.6714525234388,0.9579294805198797
2020-07-18,371547.207606319,141258.0,855.7902012600084,0.9562045307971558
2020-07-19,367927.68491800514,143479.0,880.0169070469201,0.9547680048912854
2020-07-20,364277.8172358202,145342.0,904.0768297407401,0.9535500833972427
2020-07-21,360605.01475398935,146833.0,927.6825861227713,0.9524975300454162
2020-07-22,356915.07774662273,147949.0,950.544816452328,0.951570053045825
2020-07-23,353212.66137659317,148699.0,972.3845376815531,0.9507373240334669
2020-07-24,349501.5529585734,149102.0,992.94540167515,0.949976606317854
2020-07-25,345784.8523926235,149184.0,1012.004144938345,0.9492709053016168
2020-07-26,342065.1281690582,148982.0,1029.3781233746056,0.9486075462358606
2020-07-27,338344.561972413,148535.0,1044.9295926510713,0.947977091457356
2020-07-28,334625.0618004391,147884.0,1058.566958144616,0.9473725219428152
2020-07-29,330908.3325489313,147065.0,1070.243547040578,0.9467886218293265
2020-07-30,327195.91570014384,146114.0,1079.9544829261347,0.9462215173098298
2020-07-31,323489.2176689816,145057.0,1087.7321820667967,0.9456683321594869
2020-08-01,319789.5371189692,143920.0,1093.6409117921057,0.9451269309387875
2020-08-02,316098.08979916107,142720.0,1097.770782926181,0.9445957278526647
2020-08-03,312416.02619049756,141472.0,1100.2315001625132,0.9440735446326345
2020-08-04,308744.4413020811,140188.0,1101.146143396048,0.9435595049509791
2020-08-05,305084.3800982886,138875.0,1100.6362446768992,0.9430529560260191
2020-08-06,301436.84213204274,137542.0,1098.8247741022387,0.9425534104487254
2020-08-07,297802.786400388,136192.0,1095.8442754281011,0.9420605030346717
2020-08-08,294183.1355113039,134830.0,1091.8215915675103,0.9415739588308496
2020-08-09,290578.7783216754,133460.0,1086.8757220813527,0.9410935693988064
2020-08-10,286990.5712716084,132083.0,1081.1165872254844,0.9406191752372348
2020-08-11,283419.3392380053,130701.0,1074.64447674851,0.9401506527592255
2020-08-12,279865.87646272714,129316.0,1067.550005913876,0.9396879046483748
2020-08-13,276330.9475511087,127930.0,1059.9144338987485,0.9392308527206641
2020-08-14,272815.2882921054,126542.0,1051.8102224421236,0.9387794326438365
